workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,rpe,volume_kg,estimated_1rm,notes
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Incline Bench Press (Dumbbell),4,36.0,9,,324.0,46.800000000000004,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Incline Bench Press (Dumbbell),5,36.0,6,,216.0,43.199999999999996,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Lateral Raise (Dumbbell),1,12.0,14,,168.0,17.6,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Lateral Raise (Dumbbell),2,12.0,14,,168.0,17.6,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Lateral Raise (Dumbbell),3,12.0,12,,144.0,16.799999999999997,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Shoulder Press (Machine),1,40.0,15,,600.0,60.0,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Shoulder Press (Machine),2,42.5,16,,680.0,65.16666666666666,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Shoulder Press (Machine),3,45.0,14,,630.0,66.0,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Triceps Pushdown (Cable - Straight Bar),1,28.75,16,,460.0,44.08333333333333,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Triceps Pushdown (Cable - Straight Bar),2,28.75,14,,402.5,42.16666666666667,
406,2022-07-10 14:08:42,Nachmittags-Workout,2022,2022-07,2022-07-04/2022-07-10,Sunday,Triceps Pushdown (Cable - Straight Bar),3,28.75,13,,373.75,41.208333333333336,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bent Over Row (Barbell),1,50.0,19,,950.0,81.66666666666667,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bent Over Row (Barbell),2,70.0,12,,840.0,98.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bent Over Row (Barbell),3,70.0,12,,840.0,98.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bent Over Row (Barbell),4,70.0,9,,630.0,91.0,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bicep Curl (Barbell),1,27.0,15,,405.0,40.5,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bicep Curl (Barbell),2,27.0,12,,324.0,37.8,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Bicep Curl (Barbell),3,27.0,12,,324.0,37.8,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Face Pull (Cable),1,17.5,20,,350.0,29.166666666666664,
407,2022-07-11 16:06:08,Pull 2,2022,2022-07,2022-07-11/2022-07-17,Monday,Face Pull (Cable),2,21.25,14,,297.5,31.166666666666668,
