workout_id,date,workout_name,year,month,week,day_of_week,exercise_name,set_order,weight_kg,reps,volume_kg,estimated_1rm,notes
322,2017-09-13 20:38:36,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Wednesday,Squat (Barbell),6,151.95332,5,759.7665999999999,177.27887333333334,
322,2017-09-13 20:38:36,2 Legs-high Reps,2017,2017-09,2017-09-11/2017-09-17,Wednesday,Squat (Barbell),7,151.95332,6,911.71992,182.34398399999998,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Bench Press (Barbell),1,83.91452,8,671.31616,106.29172533333332,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Bench Press (Barbell),2,83.91452,8,671.31616,106.29172533333332,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Bench Press (Barbell),3,102.0582,8,816.4656,129.27372,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),1,61.23492,5,306.1746,71.44074,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),2,61.23492,5,306.1746,71.44074,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),3,83.91452,5,419.57259999999997,97.90027333333333,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),4,88.45044,7,619.15308,109.088876,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),5,106.59412,8,852.75296,135.01921866666666,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),6,106.59412,8,852.75296,135.01921866666666,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),7,106.59412,8,852.75296,135.01921866666666,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),8,102.0582,8,816.4656,129.27372,
323,2017-09-15 00:13:35,1 Incline Day,2017,2017-09,2017-09-11/2017-09-17,Friday,Incline Bench Press (Barbell),9,102.0582,8,816.4656,129.27372,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Bicep Curl (Barbell),1,45.3592,9,408.2328,58.96696,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Bicep Curl (Barbell),2,45.3592,8,362.8736,57.45498666666666,
324,2017-09-16 12:52:48,1 Heavy   Rows,2017,2017-09,2017-09-11/2017-09-17,Saturday,Bicep Curl (Barbell),3,34.0194,12,408.2328,47.627159999999996,
