"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bulgarian Split Squat";"3";"16.0";"11";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Deadlift (Dumbbell)";"1";"16.0";"15";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Deadlift (Dumbbell)";"2";"16.0";"16";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Deadlift (Dumbbell)";"3";"16.0";"15";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Pull Up";"1";"5.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Pull Up";"2";"5.0";"11";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Pull Up";"3";"5.0";"7";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Pull Up";"4";"5.0";"8";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"11";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bicep Curl (Cable)";"1";"0.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bicep Curl (Cable)";"2";"0.0";"11";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bicep Curl (Cable)";"3";"0.0";"10";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Shrug (Dumbbell)";"1";"22.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Shrug (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Shrug (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bicep Curl (Dumbbell)";"1";"5.0";"16";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bicep Curl (Dumbbell)";"2";"5.0";"16";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Bicep Curl (Dumbbell)";"3";"5.0";"16814";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Ab Wheel";"1";"0.0";"15";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Ab Wheel";"2";"0.0";"13";"";"";"";"";""
"131";"2021-01-21 12:15:05";"Pull Home";"5274";"Ab Wheel";"3";"0.0";"12";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Goblet Squat (Kettlebell)";"1";"22.0";"20";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Goblet Squat (Kettlebell)";"2";"22.0";"20";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Goblet Squat (Kettlebell)";"3";"22.0";"18";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Handstand Push Up";"1";"0.0";"12";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Handstand Push Up";"2";"0.0";"10";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Handstand Push Up";"3";"0.0";"10";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Chest Dip";"1";"0.0";"16";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Chest Dip";"2";"0.0";"12";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Chest Dip";"3";"0.0";"10";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Push Up";"1";"0.0";"13";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Push Up";"2";"0.0";"12";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Push Up";"3";"0.0";"9";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Overhead Press (Dumbbell)";"1";"16.0";"8";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Overhead Press (Dumbbell)";"2";"16.0";"8";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Overhead Press (Dumbbell)";"3";"16.0";"8";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Triceps Dip";"1";"0.0";"14";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Triceps Dip";"2";"0.0";"14";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Triceps Dip";"3";"0.0";"10";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Lateral Raise (Dumbbell)";"1";"5.0";"18";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Lateral Raise (Dumbbell)";"2";"5.0";"18";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Lateral Raise (Dumbbell)";"3";"5.0";"16";"";"";"";"";""
"132";"2021-01-23 13:37:08";"Push Home";"4680";"Bike ride";"1";"";"";"";"0.0";"1320.0";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bulgarian Split Squat";"1";"16.0";"15";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bulgarian Split Squat";"2";"16.0";"10";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bulgarian Split Squat";"3";"16.0";"11";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Pull Up";"1";"5.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Pull Up";"2";"5.0";"10";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Pull Up";"3";"5.0";"8";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Pull Up";"4";"5.0";"7";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Deadlift (Dumbbell)";"1";"16.0";"15";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Deadlift (Dumbbell)";"2";"16.0";"15";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Deadlift (Dumbbell)";"3";"16.0";"15";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bicep Curl (Cable)";"1";"0.0";"13";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bicep Curl (Cable)";"2";"0.0";"10";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bicep Curl (Cable)";"3";"0.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Shrug (Dumbbell)";"1";"22.0";"13";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Shrug (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Shrug (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bicep Curl (Dumbbell)";"1";"5.0";"17";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bicep Curl (Dumbbell)";"2";"5.0";"16";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bicep Curl (Dumbbell)";"3";"5.0";"16";"";"";"";"";""
"133";"2021-01-25 12:34:41";"Pull Home";"5506";"Bike ride";"1";"";"";"";"0.0";"900.0";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Goblet Squat (Kettlebell)";"1";"22.0";"20";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Goblet Squat (Kettlebell)";"2";"22.0";"20";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Goblet Squat (Kettlebell)";"3";"22.0";"20";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Handstand Push Up";"1";"0.0";"13";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Handstand Push Up";"2";"0.0";"12";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Handstand Push Up";"3";"0.0";"10";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Chest Dip";"1";"0.0";"16";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Chest Dip";"2";"0.0";"12";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Chest Dip";"3";"0.0";"12";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Push Up";"1";"0.0";"16";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Push Up";"2";"0.0";"13";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Push Up";"3";"0.0";"12";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Overhead Press (Dumbbell)";"1";"16.0";"9";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Overhead Press (Dumbbell)";"2";"16.0";"10";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Overhead Press (Dumbbell)";"3";"16.0";"9";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Triceps Extension";"1";"0.0";"10";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Triceps Extension";"2";"0.0";"12";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Triceps Extension";"3";"0.0";"8";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Lateral Raise (Dumbbell)";"1";"5.0";"17";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Lateral Raise (Dumbbell)";"2";"5.0";"18";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Lateral Raise (Dumbbell)";"3";"5.0";"18";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Bike ride";"1";"";"";"";"0.0";"1320.0";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Ab Wheel";"1";"0.0";"14";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Ab Wheel";"2";"0.0";"12";"";"";"";"";""
"134";"2021-01-27 14:36:26";"Push Home";"6194";"Ab Wheel";"3";"0.0";"12";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bulgarian Split Squat";"1";"22.0";"14";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bulgarian Split Squat";"2";"22.0";"13";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bulgarian Split Squat";"3";"22.0";"12";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Pull Up";"1";"5.0";"13";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Pull Up";"2";"5.0";"11";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Pull Up";"3";"5.0";"8";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Pull Up";"4";"5.0";"8";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Deadlift (Dumbbell)";"1";"16.0";"14";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Deadlift (Dumbbell)";"2";"16.0";"14";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Deadlift (Dumbbell)";"3";"16.0";"14";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"13";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bicep Curl (Cable)";"1";"0.0";"15";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bicep Curl (Cable)";"2";"0.0";"12";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bicep Curl (Cable)";"3";"0.0";"10";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Shrug (Dumbbell)";"1";"22.0";"13";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Shrug (Dumbbell)";"2";"22.0";"14";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Shrug (Dumbbell)";"3";"22.0";"15";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bicep Curl (Dumbbell)";"1";"5.0";"18";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bicep Curl (Dumbbell)";"2";"5.0";"17";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Bicep Curl (Dumbbell)";"3";"5.0";"17";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Ab Wheel";"1";"0.0";"16";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Ab Wheel";"2";"0.0";"14";"";"";"";"";""
"135";"2021-01-30 13:33:58";"Pull Home";"5690";"Ab Wheel";"3";"0.0";"12";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Goblet Squat (Kettlebell)";"1";"22.0";"20";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Goblet Squat (Kettlebell)";"2";"22.0";"20";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Goblet Squat (Kettlebell)";"3";"22.0";"20";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Handstand Push Up";"1";"0.0";"13";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Handstand Push Up";"2";"0.0";"12";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Handstand Push Up";"3";"0.0";"10";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Overhead Press (Dumbbell)";"1";"16.0";"11";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Overhead Press (Dumbbell)";"2";"16.0";"11";"";"";"";"";""
"136";"2021-02-01 13:35:48";"Push Home";"4704";"Overhead Press (Dumbbell)";"3";"16.0";"13";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bulgarian Split Squat";"1";"22.0";"14";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bulgarian Split Squat";"2";"22.0";"13";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bulgarian Split Squat";"3";"22.0";"12";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Pull Up";"1";"5.0";"15";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Pull Up";"2";"5.0";"9";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Pull Up";"3";"0.0";"9";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Deadlift (Dumbbell)";"1";"16.0";"14";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Deadlift (Dumbbell)";"2";"16.0";"14";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Deadlift (Dumbbell)";"3";"16.0";"14";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"13";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"13";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Arnold Press (Dumbbell)";"1";"16.0";"7";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Arnold Press (Dumbbell)";"2";"16.0";"8";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Arnold Press (Dumbbell)";"3";"16.0";"7";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Shrug (Barbell)";"1";"16.0";"12";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Shrug (Barbell)";"2";"16.0";"12";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Shrug (Barbell)";"3";"16.0";"12";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bicep Curl (Cable)";"1";"0.0";"14";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bicep Curl (Cable)";"2";"0.0";"10";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bicep Curl (Cable)";"3";"0.0";"9";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bicep Curl (Dumbbell)";"1";"5.0";"20";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bicep Curl (Dumbbell)";"2";"5.0";"20";"";"";"";"";""
"137";"2021-02-03 16:34:18";"Pull custom";"4220";"Bicep Curl (Dumbbell)";"3";"5.0";"20";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Goblet Squat (Kettlebell)";"1";"22.0";"18";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Goblet Squat (Kettlebell)";"2";"22.0";"18";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Goblet Squat (Kettlebell)";"3";"22.0";"18";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Handstand Push Up";"1";"0.0";"9";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Handstand Push Up";"2";"0.0";"8";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Handstand Push Up";"3";"0.0";"9";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Chest Dip";"1";"0.0";"18";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Chest Dip";"2";"0.0";"11";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Chest Dip";"3";"0.0";"11";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Overhead Press (Dumbbell)";"1";"16.0";"11";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Overhead Press (Dumbbell)";"2";"16.0";"8";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Overhead Press (Dumbbell)";"3";"16.0";"8";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Hip Thrust (Barbell)";"1";"16.0";"10";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Hip Thrust (Barbell)";"2";"16.0";"8";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Hip Thrust (Barbell)";"3";"16.0";"8";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Upright Row (Dumbbell)";"1";"16.0";"12";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Upright Row (Dumbbell)";"2";"16.0";"14";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Upright Row (Dumbbell)";"3";"16.0";"14";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Triceps Extension";"1";"0.0";"13";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Triceps Extension";"2";"0.0";"13";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Triceps Extension";"3";"0.0";"10";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Lateral Raise (Dumbbell)";"1";"5.0";"15";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Lateral Raise (Dumbbell)";"2";"5.0";"16";"";"";"";"";""
"138";"2021-02-05 14:22:54";"Push Custom";"4834";"Lateral Raise (Dumbbell)";"3";"5.0";"16";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bulgarian Split Squat";"1";"22.0";"14";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bulgarian Split Squat";"2";"22.0";"14";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bulgarian Split Squat";"3";"22.0";"14";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Pull Up";"1";"5.0";"14";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Pull Up";"2";"5.0";"11";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Pull Up";"3";"5.0";"10";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Deadlift (Dumbbell)";"1";"16.0";"14";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Deadlift (Dumbbell)";"2";"16.0";"14";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Deadlift (Dumbbell)";"3";"16.0";"15";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"15";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Arnold Press (Dumbbell)";"1";"16.0";"10";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Arnold Press (Dumbbell)";"2";"16.0";"9";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Arnold Press (Dumbbell)";"3";"16.0";"8";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Shrug (Barbell)";"1";"16.0";"16";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Shrug (Barbell)";"2";"16.0";"13";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Shrug (Barbell)";"3";"16.0";"12";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bicep Curl (Dumbbell)";"1";"5.0";"10";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bicep Curl (Dumbbell)";"2";"5.0";"10";"";"";"";"";""
"139";"2021-02-07 14:26:28";"Pull custom";"4263";"Bicep Curl (Dumbbell)";"3";"5.0";"10";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Plank";"1";"";"";"";"";"8.0";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Plank";"2";"";"";"";"";"8.0";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Plank";"3";"";"";"";"";"8.0";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Side Plank";"1";"";"";"";"";"8.0";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Side Plank";"2";"";"";"";"";"8.0";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Side Plank";"3";"";"";"";"";"8.0";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Hanging Knee Raise";"1";"";"10";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Hanging Knee Raise";"2";"";"9";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Hanging Knee Raise";"3";"";"8";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Ab Wheel";"1";"0.0";"12";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Ab Wheel";"2";"0.0";"10";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Ab Wheel";"3";"0.0";"10";"";"";"";"";""
"140";"2021-02-08 13:23:17";"Code ausdauer";"3609";"Bike ride";"1";"";"";"";"0.0";"1500.0";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Goblet Squat (Kettlebell)";"1";"22.0";"18";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Goblet Squat (Kettlebell)";"2";"22.0";"20";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Goblet Squat (Kettlebell)";"3";"22.0";"18";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Handstand Push Up";"1";"0.0";"11";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Handstand Push Up";"2";"0.0";"9";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Handstand Push Up";"3";"0.0";"11";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Push Up";"1";"5.0";"14";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Push Up";"2";"5.0";"12";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Push Up";"3";"5.0";"10";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Overhead Press (Dumbbell)";"1";"16.0";"11";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Overhead Press (Dumbbell)";"2";"16.0";"10";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Overhead Press (Dumbbell)";"3";"16.0";"10";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Hip Thrust (Barbell)";"1";"22.0";"10";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Hip Thrust (Barbell)";"2";"22.0";"11";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Hip Thrust (Barbell)";"3";"16.0";"10";"";"";"";"";""
"141";"2021-02-09 14:38:31";"Push Custom";"4400";"Upright Row (Dumbbell)";"1";"22.0";"12";"";"";"";"";""
