"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Triceps Pushdown (Cable - Straight Bar)";"Rest Timer";"";"";"";"";"105.0";"";""
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Hammer Curl (Dumbbell)";"1";"14.0";"12";"";"";"";"";""
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"100.0";"";""
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Hammer Curl (Dumbbell)";"2";"16.0";"10";"";"";"";"";""
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"100.0";"";""
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Hammer Curl (Dumbbell)";"3";"16.0";"10";"";"";"";"";""
"743";"2025-06-01 17:19:04";"D2 Brust/Schultern/Arme";"4828";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"100.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"1";"40.0";"13";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"Rest Timer";"";"";"";"";"130.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"2";"70.0";"15";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"Rest Timer";"";"";"";"";"130.0";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"3";"80.0";"14";"";"";"";"";""
"744";"2025-06-03 12:23:05";"D2 Beine/Rücken ";"3734";"Romanian Deadlift (Barbell)";"Rest Timer";"";"";"";"";"130.0";"";""
