exercise_name,estimated_1rm_kg,weight_kg,reps,pr_date
Incline Chest Press (Machine),82.3,65.0,8,2022-07-02
T Bar Row,82.0,60.0,11,2026-05-19
Glute Kickback (Machine),80.7,55.0,14,2021-08-17
Hack Squat (Barbell),76.0,60.0,8,2020-09-03
Shoulder Press (Machine),71.7,50.0,13,2022-10-05
schlitten ziehen,69.3,65.0,2,2023-09-20
Overhead Press (Smith Machine),68.3,50.0,11,2025-10-14
Lat Pulldown - Underhand (Band),68.3,50.0,11,2021-08-25
Seated Calf Raise (Plate Loaded),66.7,40.0,20,2024-07-08
Strict Military Press (Barbell),63.3,47.5,10,2023-07-16
Pendulum Squat,63.3,50.0,8,2026-04-29
Lunge (Dumbbell),58.3,38.0,16,2021-05-02
Deadlift (Dumbbell),58.3,38.0,16,2021-05-09
Triceps Pushdown (Cable - Straight Bar),58.0,36.25,18,2024-06-07
Wrist Curl Cable,57.0,30.0,27,2026-05-25
Lat Pulldown (Single Arm),56.7,42.5,10,2022-08-02
Pullover (Machine),54.2,32.5,20,2022-04-01
Lateral Raise (Machine),53.7,35.0,16,2024-04-16
Preacher Curl (Machine),53.3,40.0,10,2021-07-03
Cable Crunch,52.1,31.25,20,2024-11-16
Incline Bench Press (Dumbbell),51.6,36.0,13,2022-07-10
Shrug (Dumbbell),51.2,32.0,18,2026-02-28
Bicep Curl (Barbell),51.2,32.0,18,2024-03-29
Bent Over One Arm Row (Dumbbell),49.9,34.0,14,2025-06-06
Upright Row (Barbell),49.1,32.0,16,2022-04-25
Standing Leg Curl,49.0,35.0,12,2025-06-03
Bulgarien Split SMITH,48.0,40.0,6,2026-03-24
Triceps Extension (Cable),47.9,28.75,20,2022-04-28
Skullcrusher (Barbell),46.9,32.0,14,2024-06-21
Upright Row (Cable),46.0,28.75,18,2023-01-26
Triceps Extensions Stange,46.0,28.75,18,2025-10-18
Shrug (Machine),45.6,28.5,18,2021-10-12
Triceps Extension (Dumbbell),44.4,32.5,11,2024-11-19
Chest Dip,44.3,35.0,8,2025-06-12
Preacher Curl (Barbell),43.2,27.0,18,2023-05-26
Stiff Leg Deadlift (Dumbbell),42.9,28.0,16,2024-03-21
Seated Overhead Press (Dumbbell),42.9,28.0,16,2024-01-28
Bicep Curl (Cable),42.2,28.75,14,2024-05-26
Overhead Press (Dumbbell),41.1,28.0,14,2024-07-15
Face Pull (Cable),41.1,26.25,17,2024-07-30
Upright Row (Dumbbell),38.9,22.0,23,2021-04-24
Goblet Squat (Kettlebell),38.1,22.0,22,2021-02-19
Triceps Extension,35.4,21.25,20,2024-07-30
Bulgarian Split Squat,33.7,22.0,16,2021-02-15
Split Squat Dumbbell,32.3,22.0,14,2024-04-01
Kettlebell Swing,32.0,16.0,30,2021-12-03
Pullover (Dumbbell),31.5,22.0,13,2020-12-01
Pull Up,27.9,22.0,8,2021-01-14
Arnold Press (Dumbbell),27.3,20.0,11,2020-07-27
Cable Crossover,26.0,16.25,18,2022-10-19
Reverse Cable Curl,25.5,16.25,17,2025-07-04
Push Up (Band),22.4,16.0,12,2021-03-13
Back Extension,22.0,15.0,14,2020-09-01
Hammer Curl (Dumbbell),21.9,16.0,11,2022-05-24
Wide Pull Up,21.3,16.0,10,2021-04-27
Bicep Curl (Dumbbell),21.3,16.0,10,2024-08-14
Incline Curl (Dumbbell),20.5,14.0,14,2022-10-04
Lateral Raise (Dumbbell),18.4,12.0,16,2022-05-07
Preacher Curl (Dumbbell),17.2,12.0,13,2024-12-02
Front Raise (Barbell),14.3,9.5,15,2026-03-03
Lateral Raise (Cable),13.4,8.75,16,2021-10-15
Reverse Fly (Dumbbell),12.3,8.0,16,2024-01-28
Crunch,8.7,5.0,22,2021-04-21
Push Up,7.5,5.0,15,2021-02-13
Triceps Dip,0.0,0.0,12,2021-01-12
Knee Raise (Captain's Chair),0.0,0.0,20,2023-03-31
Handstand Push Up,0.0,0.0,8,2020-11-18
Cross Body Crunch,0.0,0.0,20,2021-04-21
Bent Over Row (Band),0.0,0.0,14,2021-02-17
Ab Wheel,0.0,0.0,13,2020-11-10
