month,exercise_name,best_1rm_kg
2024-01-01,Skullcrusher (Barbell),41.4
2024-01-01,Split Squat Dumbbell,15.3
2024-01-01,Squat (Barbell),100.3
2024-01-01,Stiff Leg Deadlift (Dumbbell),37.3
2024-01-01,Triceps Extension (Cable),11.3
2024-01-01,Upright Row (Dumbbell),14.3
2024-02-01,Bent Over Row (Barbell),88.0
2024-02-01,Bicep Curl (Barbell),48.3
2024-02-01,Bicep Curl (Cable),14.7
2024-02-01,Cable Crossover,17.9
2024-02-01,Face Pull (Cable),27.4
2024-02-01,Hammer Curl (Dumbbell),16.8
2024-02-01,Incline Bench Press (Dumbbell),44.8
2024-02-01,Incline Curl (Dumbbell),15.3
2024-02-01,Lateral Raise (Dumbbell),12.3
2024-02-01,Lying Leg Curl (Machine),71.7
2024-02-01,Pull Up,14.3
2024-02-01,Pullover (Machine),46.6
2024-02-01,Reverse Fly (Machine),69.0
2024-02-01,Romanian Deadlift (Barbell),102.7
2024-02-01,Seated Calf Raise (Plate Loaded),34.0
2024-02-01,Seated Row (Machine),95.3
2024-02-01,Skullcrusher (Barbell),38.7
2024-02-01,Split Squat Dumbbell,21.0
2024-02-01,Squat (Barbell),93.3
2024-02-01,Stiff Leg Deadlift (Dumbbell),38.1
2024-03-01,Bench Press (Barbell),109.3
2024-03-01,Bent Over Row (Barbell),99.7
2024-03-01,Bicep Curl (Barbell),51.2
2024-03-01,Bicep Curl (Cable),40.3
2024-03-01,Calf Press on Leg Press,116.7
2024-03-01,Chest Dip,33.3
2024-03-01,Chest Fly,101.8
2024-03-01,Face Pull (Cable),35.7
2024-03-01,Incline Bench Press (Dumbbell),45.9
2024-03-01,Lat Pulldown (Cable),123.3
2024-03-01,Lateral Raise (Cable),11.0
2024-03-01,Lateral Raise (Dumbbell),12.3
2024-03-01,Leg Extension (Machine),90.0
2024-03-01,Lying Leg Curl (Machine),74.4
2024-03-01,Pull Up,14.3
2024-03-01,Pullover (Machine),49.8
2024-03-01,Reverse Fly (Machine),82.3
2024-03-01,Romanian Deadlift (Barbell),115.0
2024-03-01,Seated Calf Raise (Plate Loaded),41.7
2024-03-01,Seated Leg Curl (Machine),90.1
2024-03-01,Seated Leg Press (Machine),157.2
2024-03-01,Seated Overhead Press (Dumbbell),39.9
2024-03-01,Seated Row (Machine),105.0
2024-03-01,Shrug (Dumbbell),43.3
2024-03-01,Skullcrusher (Barbell),43.3
2024-03-01,Split Squat Dumbbell,30.7
2024-03-01,Squat (Barbell),102.7
2024-03-01,Stiff Leg Deadlift (Dumbbell),42.9
2024-03-01,Triceps Extension,34.0
2024-04-01,Bench Press (Barbell),106.7
2024-04-01,Bicep Curl (Cable),40.3
2024-04-01,Bicep Curl (Machine),84.0
2024-04-01,Chest Dip,29.3
2024-04-01,Chest Fly,99.0
2024-04-01,Face Pull (Cable),39.0
2024-04-01,Hip Abductor (Machine),114.8
2024-04-01,Hip Adductor (Machine),183.3
2024-04-01,Incline Bench Press (Dumbbell),48.7
2024-04-01,Knee Raise (Captain's Chair),0.0
2024-04-01,Lat Pulldown (Cable),129.5
2024-04-01,Lateral Raise (Dumbbell),9.6
2024-04-01,Lateral Raise (Machine),53.7
2024-04-01,Leg Extension (Machine),100.0
2024-04-01,Lying Leg Curl (Machine),73.3
2024-04-01,Pull Up,19.0
2024-04-01,Pullover (Machine),49.8
2024-04-01,Reverse Fly (Machine),84.0
2024-04-01,Romanian Deadlift (Barbell),115.0
2024-04-01,Seated Calf Raise (Plate Loaded),51.0
2024-04-01,Seated Leg Curl (Machine),94.0
2024-04-01,Seated Leg Press (Machine),160.6
2024-04-01,Seated Overhead Press (Dumbbell),39.9
2024-04-01,Seated Row (Cable),100.3
2024-04-01,Seated Row (Machine),106.3
2024-04-01,Shrug (Dumbbell),44.2
2024-04-01,Skullcrusher (Barbell),44.3
2024-04-01,Split Squat Dumbbell,32.3
2024-04-01,Squat (Barbell),107.5
2024-04-01,Stiff Leg Deadlift (Dumbbell),40.1
2024-04-01,Triceps Extension,32.6
2024-04-01,Triceps Extension (Cable),34.0
2024-04-01,Triceps Pushdown (Cable - Straight Bar),36.4
2024-05-01,Back Extension,16.3
2024-05-01,Bench Press (Barbell),100.0
2024-05-01,Bent Over Row (Barbell),91.0
2024-05-01,Bicep Curl (Barbell),48.0
2024-05-01,Bicep Curl (Cable),42.2
2024-05-01,Bicep Curl (Machine),92.0
2024-05-01,Chest Fly,99.7
2024-05-01,Crunch (Machine),97.8
2024-05-01,Front Squat (Barbell),95.3
2024-05-01,Hip Abductor (Machine),110.5
2024-05-01,Hip Adductor (Machine),165.8
2024-05-01,Incline Bench Press (Barbell),98.0
2024-05-01,Incline Bench Press (Dumbbell),48.7
2024-05-01,Incline Curl (Dumbbell),18.0
2024-05-01,Knee Raise (Captain's Chair),0.0
2024-05-01,Lat Pulldown (Cable),126.0
2024-05-01,Lateral Raise (Dumbbell),15.7
2024-05-01,Lateral Raise (Machine),48.8
2024-05-01,Leg Extension (Machine),100.0
2024-05-01,Lying Leg Curl (Machine),76.7
2024-05-01,Pull Up,20.0
2024-05-01,Reverse Fly (Dumbbell),9.6
2024-05-01,Romanian Deadlift (Barbell),107.3
2024-05-01,Seated Calf Raise (Plate Loaded),52.0
2024-05-01,Seated Leg Curl (Machine),93.2
2024-05-01,Seated Leg Press (Machine),153.3
2024-05-01,Seated Overhead Press (Dumbbell),41.6
2024-05-01,Seated Row (Cable),120.0
2024-05-01,Seated Row (Machine),114.7
2024-05-01,Shrug (Dumbbell),32.7
2024-05-01,Skullcrusher (Barbell),45.2
2024-05-01,Squat (Barbell),101.5
2024-05-01,Stiff Leg Deadlift (Dumbbell),39.9
2024-05-01,Strict Military Press (Barbell),60.0
2024-05-01,Triceps Extension (Cable),35.8
2024-05-01,Triceps Pushdown (Cable - Straight Bar),55.6
2024-06-01,Bent Over Row (Barbell),90.0
2024-06-01,Bicep Curl (Barbell),46.9
2024-06-01,Bicep Curl (Cable),41.1
2024-06-01,Bicep Curl (Machine),94.0
2024-06-01,Chest Fly,104.0
2024-06-01,Crunch (Machine),97.8
2024-06-01,Incline Bench Press (Barbell),98.0
2024-06-01,Incline Bench Press (Dumbbell),51.0
2024-06-01,Lat Pulldown (Cable),132.0
2024-06-01,Lateral Raise (Dumbbell),16.8
2024-06-01,Lateral Raise (Machine),51.3
2024-06-01,Leg Extension (Machine),100.0
2024-06-01,Lying Leg Curl (Machine),88.0
2024-06-01,Pull Up,20.0
2024-06-01,Pullover (Machine),38.5
2024-06-01,Reverse Fly (Dumbbell),10.0
2024-06-01,Romanian Deadlift (Barbell),88.0
2024-06-01,Seated Calf Raise (Plate Loaded),52.0
2024-06-01,Seated Leg Curl (Machine),96.0
2024-06-01,Seated Leg Press (Machine),167.4
2024-06-01,Seated Overhead Press (Dumbbell),39.9
2024-06-01,Seated Row (Machine),120.0
2024-06-01,Skullcrusher (Barbell),46.9
2024-06-01,Squat (Barbell),98.0
2024-06-01,Standing Leg Curl,44.0
2024-06-01,Triceps Extension (Cable),36.4
2024-06-01,Triceps Extension (Machine),164.0
2024-06-01,Triceps Pushdown (Cable - Straight Bar),58.0
2024-07-01,Bent Over Row (Barbell),99.7
2024-07-01,Bicep Curl (Cable),31.2
2024-07-01,Cable Crossover,21.0
2024-07-01,Chest Dip,31.7
2024-07-01,Chest Fly,111.2
2024-07-01,Crunch (Machine),97.8
2024-07-01,Face Pull (Cable),41.1
2024-07-01,Hack Squat,52.0
2024-07-01,Hip Adductor (Machine),183.3
2024-07-01,Incline Bench Press (Barbell),93.3
2024-07-01,Incline Bench Press (Dumbbell),47.6
2024-07-01,Iso-Lateral Row (Machine),62.3
2024-07-01,Lat Pulldown (Cable),117.3
2024-07-01,Lateral Raise (Cable),11.0
2024-07-01,Lateral Raise (Dumbbell),16.7
2024-07-01,Leg Extension (Machine),115.0
2024-07-01,Lying Leg Curl (Machine),84.3
2024-07-01,Overhead Press (Dumbbell),41.1
2024-07-01,Pull Up,19.5
2024-07-01,Pullover (Machine),38.3
2024-07-01,Reverse Fly (Dumbbell),9.6
2024-07-01,Romanian Deadlift (Barbell),106.7
2024-07-01,Seated Calf Raise (Plate Loaded),66.7
2024-07-01,Seated Leg Curl (Machine),88.2
2024-07-01,Seated Leg Press (Machine),168.7
2024-07-01,Seated Overhead Press (Dumbbell),40.1
2024-07-01,Seated Row (Machine),126.5
2024-07-01,Standing Calf Raise (Machine),133.3
2024-07-01,T Bar Row,60.0
2024-07-01,Triceps Extension,35.4
2024-07-01,Triceps Extension (Cable),37.2
2024-07-01,Triceps Pushdown (Cable - Straight Bar),51.8
2024-08-01,Bicep Curl (Cable),15.4
2024-08-01,Bicep Curl (Dumbbell),21.3
2024-08-01,Bicep Curl (Machine),81.3
2024-08-01,Cable Crossover,15.8
2024-08-01,Crunch (Machine),106.3
2024-08-01,Face Pull (Cable),40.0
2024-08-01,Hack Squat,46.7
2024-08-01,Hip Adductor (Machine),207.6
2024-08-01,Incline Bench Press (Dumbbell),49.9
2024-08-01,Incline Chest Press (Machine),73.3
2024-08-01,Iso-Lateral Row (Machine),59.5
2024-08-01,Lat Pulldown (Cable),114.7
2024-08-01,Lateral Raise (Dumbbell),11.7
2024-08-01,Leg Extension (Machine),130.0
2024-08-01,Lying Leg Curl (Machine),80.7
2024-08-01,Pull Up,0.0
2024-08-01,Pullover (Machine),49.8
2024-08-01,Romanian Deadlift (Barbell),114.7
2024-08-01,Seated Calf Raise (Plate Loaded),64.0
2024-08-01,Seated Leg Curl (Machine),100.0
2024-08-01,Seated Overhead Press (Dumbbell),39.9
2024-08-01,Standing Calf Raise (Machine),133.3
2024-08-01,T Bar Row,63.0
2024-08-01,Triceps Extension,34.8
2024-08-01,Triceps Extension (Cable),31.2
2024-08-01,Triceps Pushdown (Cable - Straight Bar),58.0
2024-08-01,Upright Row (Barbell),44.8
2024-09-01,Bench Press (Barbell),98.0
2024-09-01,Bicep Curl (Barbell),43.3
2024-09-01,Bicep Curl (Cable),16.1
2024-09-01,Bicep Curl (Dumbbell),19.6
2024-09-01,Cable Crossover,18.0
2024-09-01,Chest Dip,22.5
2024-09-01,Chest Fly,91.0
2024-09-01,Chest Press (Machine),86.0
2024-09-01,Face Pull (Cable),37.6
2024-09-01,Hack Squat,49.0
2024-09-01,Incline Bench Press (Dumbbell),46.5
2024-09-01,Lat Pulldown (Cable),109.3
2024-09-01,Lateral Raise (Cable),10.8
2024-09-01,Lateral Raise (Dumbbell),16.8
2024-09-01,Leg Extension (Machine),130.0
2024-09-01,Overhead Press (Dumbbell),40.1
2024-09-01,Pull Up,14.3
2024-09-01,Romanian Deadlift (Barbell),105.0
2024-09-01,Standing Calf Raise (Machine),136.0
2024-09-01,T Bar Row,53.3
2024-09-01,Triceps Extension,34.8
2024-09-01,Triceps Extension (Cable),31.2
2024-09-01,Triceps Pushdown (Cable - Straight Bar),55.6
2024-09-01,Upright Row (Barbell),43.3
2024-10-01,Bicep Curl (Machine),67.4
2024-10-01,Cable Crossover,18.0
2024-10-01,Chest Dip,22.0
2024-10-01,Hack Squat,51.3
2024-10-01,Hammer Curl (Dumbbell),16.0
2024-10-01,Incline Bench Press (Dumbbell),46.5
2024-10-01,Iso-Lateral Row (Machine),49.0
2024-10-01,Lat Pulldown (Cable),109.3
2024-10-01,Lateral Raise (Dumbbell),12.3
2024-10-01,Lying Leg Curl (Machine),76.7
2024-10-01,Reverse Fly (Machine),69.0
2024-10-01,Triceps Pushdown (Cable - Straight Bar),52.0
2024-11-01,Back Extension,16.0
2024-11-01,Bench Press (Barbell),106.7
2024-11-01,Bicep Curl (Barbell),42.3
2024-11-01,Bicep Curl (Cable),16.5
2024-11-01,Bicep Curl (Machine),60.9
2024-11-01,Cable Crossover,19.5
2024-11-01,Cable Crunch,52.1
2024-11-01,Chest Fly,93.2
2024-11-01,Chest Press (Machine),78.0
2024-11-01,Crunch (Machine),108.3
2024-11-01,Face Pull (Cable),38.0
2024-11-01,Hack Squat,54.7
2024-11-01,Hammer Curl (Dumbbell),17.2
2024-11-01,Hip Adductor (Machine),195.8
2024-11-01,Incline Bench Press (Dumbbell),45.9
2024-11-01,Lateral Raise (Cable),9.8
2024-11-01,Lateral Raise (Dumbbell),13.3
2024-11-01,Lying Leg Curl (Machine),82.5
2024-11-01,Pull Up,14.0
2024-11-01,Pullover (Machine),39.4
2024-11-01,Reverse Fly (Machine),77.0
2024-11-01,Seated Leg Press (Machine),157.2
2024-11-01,Seated Overhead Press (Dumbbell),39.2
2024-11-01,Seated Row (Machine),112.0
2024-11-01,Shoulder Press (Machine),64.5
2024-11-01,Split Squat Dumbbell,27.6
2024-11-01,Standing Calf Raise (Machine),133.3
2024-11-01,T Bar Row,54.7
2024-11-01,Triceps Extension,13.4
2024-11-01,Triceps Extension (Cable),34.0
2024-11-01,Triceps Extension (Dumbbell),44.4
2024-11-01,Triceps Pushdown (Cable - Straight Bar),53.1
2024-11-01,Upright Row (Barbell),42.2
2024-11-01,Upright Row (Cable),39.4
2024-12-01,Bicep Curl (Cable),17.3
2024-12-01,Cable Crossover,13.4
2024-12-01,Chest Press (Machine),71.5
2024-12-01,Face Pull (Cable),38.0
2024-12-01,Hack Squat,52.0
2024-12-01,Hammer Curl (Dumbbell),16.8
2024-12-01,Hip Adductor (Machine),180.2
2024-12-01,Incline Bench Press (Dumbbell),45.3
2024-12-01,Lat Pulldown (Machine),100.1
2024-12-01,Lateral Raise (Dumbbell),12.8
2024-12-01,Leg Extension (Machine),116.0
2024-12-01,Lying Leg Curl (Machine),71.5
2024-12-01,Preacher Curl (Dumbbell),17.2
2024-12-01,Pull Up,19.5
2024-12-01,Pullover (Machine),43.1
2024-12-01,Seated Calf Raise (Plate Loaded),54.8
2024-12-01,Seated Leg Curl (Machine),99.7
2024-12-01,Seated Leg Press (Machine),146.7
2024-12-01,Seated Row (Machine),116.0
2024-12-01,Shoulder Press (Machine),56.7
2024-12-01,Shrug (Dumbbell),40.0
2024-12-01,T Bar Row,61.5
2024-12-01,Triceps Extension (Cable),36.7
2024-12-01,Triceps Pushdown (Cable - Straight Bar),50.9
2025-01-01,Bicep Curl (Cable),26.9
2025-01-01,Bicep Curl (Machine),37.6
2025-01-01,Cable Crossover,13.4
2025-01-01,Chest Dip,0.0
2025-01-01,Chest Fly,84.5
2025-01-01,Chest Press (Machine),68.3
2025-01-01,Hack Squat,63.0
2025-01-01,Hip Thrust (Barbell),63.0
2025-01-01,Iso-Lateral Row (Machine),96.7
2025-01-01,Knee Raise (Captain's Chair),0.0
2025-01-01,Lat Pulldown (Cable),95.7
2025-01-01,Lateral Raise (Machine),34.8
2025-01-01,Leg Extension (Machine),111.2
2025-01-01,Lying Leg Curl (Machine),65.0
2025-01-01,Pull Up,0.0
2025-01-01,Seated Leg Press (Machine),150.3
2025-01-01,Shoulder Press (Machine),38.5
2025-01-01,Triceps Extension (Cable),33.0
2025-01-01,Triceps Pushdown (Cable - Straight Bar),44.1
2025-02-01,Bicep Curl (Cable),31.2
2025-02-01,Cable Crossover,17.3
2025-02-01,Chest Fly,86.7
2025-02-01,Hack Squat,82.0
2025-02-01,Incline Bench Press (Dumbbell),43.7
2025-02-01,Lat Pulldown (Cable),95.7
2025-02-01,Lateral Raise (Dumbbell),12.0
2025-02-01,Lateral Raise (Machine),28.0
2025-02-01,Leg Extension (Machine),120.0
2025-02-01,Lying Leg Curl (Machine),78.6
2025-02-01,Pullover (Machine),44.1
2025-02-01,Romanian Deadlift (Barbell),92.0
2025-02-01,Seated Calf Raise (Plate Loaded),47.7
2025-02-01,Seated Leg Curl (Machine),86.3
2025-02-01,Seated Leg Press (Machine),143.5
2025-02-01,Seated Overhead Press (Dumbbell),31.5
2025-02-01,Seated Row (Machine),109.3
2025-02-01,Shoulder Press (Machine),36.7
2025-02-01,Standing Calf Raise (Machine),111.2
2025-02-01,T Bar Row,60.0
2025-02-01,Triceps Extension (Cable),32.6
2025-02-01,Upright Row (Barbell),30.7
2025-03-01,Bench Press (Barbell),98.0
2025-03-01,Bent Over One Arm Row (Dumbbell),41.1
2025-03-01,Bicep Curl (Cable),30.8
2025-03-01,Cable Crossover,19.2
2025-03-01,Chest Dip,18.4
2025-03-01,Chest Fly,86.3
2025-03-01,Face Pull (Cable),39.2
2025-03-01,Hack Squat,91.0
2025-03-01,Hammer Curl (Dumbbell),18.7
2025-03-01,Hip Abductor (Machine),115.0
2025-03-01,Hip Adductor (Machine),195.8
2025-03-01,Incline Bench Press (Dumbbell),45.9
2025-03-01,Incline Curl (Dumbbell),16.8
2025-03-01,Lat Pulldown (Cable),117.3
2025-03-01,Lateral Raise (Dumbbell),12.8
2025-03-01,Lateral Raise (Machine),42.2
2025-03-01,Leg Extension (Machine),122.7
2025-03-01,Leg Press,225.0
2025-03-01,Lying Leg Curl (Machine),80.0
2025-03-01,Pullover (Machine),46.0
2025-03-01,Reverse Cable Curl,12.3
2025-03-01,Romanian Deadlift (Barbell),114.7
2025-03-01,Seated Leg Curl (Machine),95.3
2025-03-01,Seated Leg Press (Machine),156.7
2025-03-01,Seated Overhead Press (Dumbbell),36.4
2025-03-01,Seated Row (Cable),87.1
2025-03-01,Seated Row (Machine),117.0
2025-03-01,Shoulder Press (Machine),46.7
2025-03-01,Shrug (Dumbbell),41.6
2025-03-01,Single Leg Press,100.3
2025-03-01,T Bar Row,63.3
2025-03-01,Triceps Extension (Cable),39.4
2025-03-01,Triceps Pushdown (Cable - Straight Bar),53.7
2025-03-01,Upright Row (Barbell),35.8
2025-03-01,Upright Row (Cable),40.1
2025-04-01,Bent Over One Arm Row (Dumbbell),43.0
2025-04-01,Bicep Curl (Cable),18.8
2025-04-01,Cable Crossover,21.1
2025-04-01,Chest Dip,35.0
2025-04-01,Face Pull (Cable),37.6
2025-04-01,Hack Squat,107.5
2025-04-01,Hammer Curl (Dumbbell),21.0
2025-04-01,Hip Abductor (Machine),126.0
2025-04-01,Hip Adductor (Machine),168.7
2025-04-01,Incline Bench Press (Dumbbell),48.7
2025-04-01,Incline Curl (Dumbbell),17.6
2025-04-01,Lat Pulldown (Cable),109.7
2025-04-01,Lateral Raise (Dumbbell),15.0
2025-04-01,Leg Extension (Machine),115.0
2025-04-01,Leg Press,172.5
2025-04-01,Pull Up,14.3
2025-04-01,Pullover (Machine),42.9
2025-04-01,Reverse Cable Curl,23.0
2025-04-01,Romanian Deadlift (Barbell),109.3
2025-04-01,Seated Leg Curl (Machine),82.0
2025-04-01,Seated Overhead Press (Dumbbell),39.2
2025-04-01,Seated Row (Machine),112.0
2025-04-01,Triceps Extension (Cable),38.3
2025-04-01,Triceps Pushdown (Cable - Straight Bar),58.0
2025-04-01,Upright Row (Cable),43.1
2025-05-01,Bent Over One Arm Row (Dumbbell),48.7
2025-05-01,Bicep Curl (Cable),31.9
2025-05-01,Bulgarian Split Squat,23.5
2025-05-01,Cable Crossover,22.2
2025-05-01,Chest Dip,37.5
2025-05-01,Face Pull (Cable),36.4
2025-05-01,Hack Squat,80.0
2025-05-01,Hammer Curl (Dumbbell),21.3
2025-05-01,Incline Bench Press (Dumbbell),49.9
2025-05-01,Incline Curl (Dumbbell),18.8
2025-05-01,Lat Pulldown (Cable),129.0
2025-05-01,Lateral Raise (Dumbbell),15.3
2025-05-01,Leg Extension (Machine),134.2
2025-05-01,Lying Leg Curl (Machine),70.0
2025-05-01,Pull Up,21.5
2025-05-01,Pullover (Machine),40.3
2025-05-01,Reverse Cable Curl,20.0
2025-05-01,Romanian Deadlift (Barbell),112.0
2025-05-01,Seated Leg Curl (Machine),97.5
2025-05-01,Seated Leg Press (Machine),152.8
2025-05-01,Seated Overhead Press (Dumbbell),41.1
2025-05-01,Seated Row (Machine),112.0
2025-05-01,Shrug (Dumbbell),41.6
2025-05-01,Standing Calf Raise (Machine),116.0
2025-05-01,Standing Leg Curl,45.0
2025-05-01,Triceps Extension (Cable),34.0
2025-05-01,Triceps Pushdown (Cable - Straight Bar),54.4
2025-05-01,Upright Row (Cable),43.1
2025-06-01,Bent Over One Arm Row (Dumbbell),49.9
2025-06-01,Bicep Curl (Cable),31.9
2025-06-01,Bulgarian Split Squat,29.3
2025-06-01,Cable Crossover,23.0
2025-06-01,Chest Dip,44.3
2025-06-01,Face Pull (Cable),34.4
2025-06-01,Hack Squat,106.7
2025-06-01,Hammer Curl (Dumbbell),21.3
2025-06-01,Incline Bench Press (Dumbbell),48.7
2025-06-01,Incline Curl (Dumbbell),17.6
2025-06-01,Lateral Raise (Dumbbell),15.7
2025-06-01,Leg Extension (Machine),136.2
2025-06-01,Lying Leg Curl (Machine),82.5
2025-06-01,Pull Up,25.3
2025-06-01,Pullover (Machine),45.5
2025-06-01,Reverse Cable Curl,24.9
2025-06-01,Romanian Deadlift (Barbell),120.0
2025-06-01,Seated Leg Curl (Machine),95.3
2025-06-01,Seated Overhead Press (Dumbbell),42.0
2025-06-01,Shrug (Dumbbell),45.7
2025-06-01,Standing Leg Curl,49.0
2025-06-01,Triceps Extension (Cable),34.7
2025-06-01,Triceps Extensions Stange,34.8
2025-06-01,Triceps Pushdown (Cable - Straight Bar),55.6
2025-06-01,Upright Row (Cable),41.2
2025-07-01,Bench Press (Barbell),106.7
2025-07-01,Bent Over One Arm Row (Dumbbell),48.7
2025-07-01,Bicep Curl (Cable),18.4
2025-07-01,Bulgarien Split SMITH,41.0
2025-07-01,Cable Crossover,23.0
2025-07-01,Chest Dip,36.7
2025-07-01,Face Pull (Cable),39.2
2025-07-01,Hack Squat,63.3
2025-07-01,Hammer Curl (Dumbbell),20.5
2025-07-01,Incline Bench Press (Dumbbell),48.0
2025-07-01,Incline Curl (Dumbbell),19.1
2025-07-01,Lat Pulldown (Cable),123.0
2025-07-01,Lateral Raise (Cable),11.1
2025-07-01,Lateral Raise (Dumbbell),15.7
2025-07-01,Leg Extension (Machine),131.3
2025-07-01,Pull Up,20.5
2025-07-01,Pullover (Machine),41.2
2025-07-01,Reverse Cable Curl,25.5
2025-07-01,Reverse Fly (Machine),77.0
2025-07-01,Romanian Deadlift (Barbell),126.0
2025-07-01,Seated Calf Raise (Plate Loaded),57.3
2025-07-01,Seated Overhead Press (Dumbbell),40.1
2025-07-01,Seated Row (Cable),102.7
2025-07-01,Shrug (Dumbbell),49.9
2025-07-01,Skullcrusher (Barbell),35.0
2025-07-01,Standing Leg Curl,44.0
2025-07-01,Triceps Extension (Cable),29.4
2025-07-01,Triceps Extensions Stange,41.2
2025-07-01,Upright Row (Cable),44.1
2025-08-01,Bent Over One Arm Row (Dumbbell),47.6
2025-08-01,Bicep Curl (Cable),17.5
2025-08-01,Bulgarien Split SMITH,40.0
2025-08-01,Cable Crossover,19.2
2025-08-01,Face Pull (Cable),32.6
2025-08-01,Hack Squat,56.0
2025-08-01,Hip Abductor (Machine),116.0
2025-08-01,Hip Adductor (Machine),188.0
2025-08-01,Incline Bench Press (Dumbbell),46.5
2025-08-01,Incline Curl (Dumbbell),18.4
2025-08-01,Lat Pulldown (Cable),126.7
2025-08-01,Lateral Raise (Dumbbell),14.7
2025-08-01,Overhead Press (Smith Machine),52.5
2025-08-01,Pull Up,20.0
2025-08-01,Pullover (Machine),36.4
2025-08-01,Romanian Deadlift (Barbell),112.0
2025-08-01,Seated Calf Raise (Plate Loaded),49.0
2025-08-01,Seated Overhead Press (Dumbbell),35.5
2025-08-01,Shrug (Dumbbell),44.8
2025-08-01,T Bar Row,56.0
2025-08-01,Triceps Extension (Cable),39.3
2025-08-01,Upright Row (Cable),36.7
2025-09-01,Back Extension,16.0
2025-09-01,Bicep Curl (Cable),16.5
2025-09-01,Bulgarien Split SMITH,28.0
2025-09-01,Chest Dip,0.0
2025-09-01,Hammer Curl (Dumbbell),19.1
2025-09-01,Lateral Raise (Cable),11.1
2025-09-01,Overhead Press (Smith Machine),52.0
2025-09-01,Pull Up,19.1
2025-09-01,Reverse Fly (Machine),61.5
2025-09-01,Romanian Deadlift (Barbell),101.3
2025-09-01,Seated Row (Cable),86.0
2025-09-01,Shoulder Press (Machine),53.3
2025-09-01,Triceps Extension (Cable),39.3
2025-09-01,Triceps Extensions Stange,44.1
2025-09-01,Triceps Pushdown (Cable - Straight Bar),55.6
2025-10-01,Bent Over One Arm Row (Dumbbell),44.0
2025-10-01,Bicep Curl (Cable),17.6
2025-10-01,Bulgarien Split SMITH,41.0
2025-10-01,Cable Crossover,21.4
2025-10-01,Chest Fly,93.2
2025-10-01,Hack Squat,60.0
2025-10-01,Hammer Curl (Dumbbell),19.6
2025-10-01,Hip Abductor (Machine),116.0
2025-10-01,Hip Adductor (Machine),172.0
2025-10-01,Incline Bench Press (Dumbbell),44.8
2025-10-01,Incline Bench Press (Smith Machine),106.7
2025-10-01,Incline Curl (Dumbbell),17.6
2025-10-01,Lateral Raise (Cable),11.3
2025-10-01,Lateral Raise (Dumbbell),13.6
2025-10-01,Overhead Press (Smith Machine),68.3
2025-10-01,Pull Up,20.0
2025-10-01,Reverse Fly (Machine),82.3
2025-10-01,Romanian Deadlift (Barbell),114.0
2025-10-01,Seated Leg Curl (Machine),82.4
2025-10-01,Seated Row (Machine),116.7
2025-10-01,Shrug (Dumbbell),47.6
2025-10-01,Triceps Extensions Stange,46.0
2025-12-01,Bent Over One Arm Row (Dumbbell),41.1
2025-12-01,Bicep Curl (Cable),13.9
2025-12-01,Bulgarien Split SMITH,26.0
2025-12-01,Cable Crossover,12.3
2025-12-01,Chest Dip,22.5
2025-12-01,Chest Fly,67.5
2025-12-01,Hack Squat,86.0
2025-12-01,Hip Abductor (Machine),96.0
2025-12-01,Hip Adductor (Machine),144.0
2025-12-01,Hip Thrust (Barbell),67.5
2025-12-01,Incline Bench Press (Barbell),93.3
2025-12-01,Incline Bench Press (Dumbbell),44.8
2025-12-01,Incline Curl (Dumbbell),16.8
2025-12-01,Lat Pulldown (Cable),116.9
2025-12-01,Lateral Raise (Dumbbell),12.8
2025-12-01,Leg Extension (Machine),108.8
2025-12-01,Overhead Press (Smith Machine),53.3
2025-12-01,Pull Up,19.0
2025-12-01,Romanian Deadlift (Barbell),105.0
2025-12-01,Seated Row (Cable),86.0
2025-12-01,Seated Row (Machine),114.7
2025-12-01,Shrug (Dumbbell),50.0
2025-12-01,Skullcrusher (Barbell),30.7
2025-12-01,Standing Calf Raise (Machine),152.0
2025-12-01,Triceps Extension (Cable),32.9
2026-01-01,Bent Over One Arm Row (Dumbbell),39.2
2026-01-01,Bulgarien Split SMITH,39.0
2026-01-01,Cable Crossover,13.0
2026-01-01,Chest Dip,28.7
2026-01-01,Chest Fly,67.5
2026-01-01,Face Pull (Cable),32.6
2026-01-01,Hack Squat,78.8
2026-01-01,Hammer Curl (Dumbbell),16.0
2026-01-01,Incline Bench Press (Dumbbell),47.6
2026-01-01,Incline Curl (Dumbbell),17.7
2026-01-01,Lat Pulldown (Cable),109.3
2026-01-01,Lateral Raise (Dumbbell),13.1
2026-01-01,Lying Leg Curl (Machine),63.3
2026-01-01,Overhead Press (Dumbbell),35.5
2026-01-01,Overhead Press (Smith Machine),52.0
2026-01-01,Pull Up,24.0
2026-01-01,Pullover (Machine),33.7
2026-01-01,Reverse Fly (Machine),76.7
2026-01-01,Romanian Deadlift (Barbell),75.0
2026-01-01,Seated Leg Curl (Machine),91.0
2026-01-01,Seated Row (Machine),110.0
2026-01-01,Skullcrusher (Barbell),38.7
2026-01-01,Standing Calf Raise (Machine),152.0
2026-01-01,Triceps Extension (Cable),32.9
2026-01-01,Triceps Pushdown (Cable - Straight Bar),55.6
2026-01-01,Upright Row (Cable),36.7
2026-02-01,Bicep Curl (Cable),15.8
2026-02-01,Bulgarian Split Squat,29.3
2026-02-01,Bulgarien Split SMITH,41.0
2026-02-01,Cable Crossover,15.4
2026-02-01,Chest Dip,35.8
