month,exercise_name,best_1rm_kg
2021-07-01,Bicep Curl (Machine),77.7
2021-07-01,Cable Crossover,19.7
2021-07-01,Chest Dip,29.3
2021-07-01,Chest Fly,91.7
2021-07-01,Deadlift (Barbell),90.7
2021-07-01,Glute Kickback (Machine),66.7
2021-07-01,Hip Abductor (Machine),106.2
2021-07-01,Hip Adductor (Machine),138.8
2021-07-01,Incline Bench Press (Dumbbell),44.8
2021-07-01,Incline Chest Press (Machine),50.7
2021-07-01,Lat Pulldown (Cable),98.0
2021-07-01,Lat Pulldown (Single Arm),49.0
2021-07-01,Lateral Raise (Machine),49.8
2021-07-01,Leg Extension (Machine),130.3
2021-07-01,Leg Press,345.0
2021-07-01,Lying Leg Curl (Machine),71.7
2021-07-01,Overhead Press (Dumbbell),29.3
2021-07-01,Preacher Curl (Machine),53.3
2021-07-01,Pull Up,19.5
2021-07-01,Pullover (Machine),44.1
2021-07-01,Reverse Fly (Machine),84.3
2021-07-01,Romanian Deadlift (Barbell),98.0
2021-07-01,Seated Leg Curl (Machine),99.1
2021-07-01,Seated Leg Press (Machine),168.7
2021-07-01,Seated Overhead Press (Dumbbell),26.7
2021-07-01,Seated Row (Machine),105.9
2021-07-01,Shoulder Press (Machine),57.3
2021-07-01,Skullcrusher (Barbell),37.5
2021-07-01,Triceps Extension,9.5
2021-07-01,Triceps Extension (Cable),35.6
2021-07-01,Triceps Pushdown (Cable - Straight Bar),42.2
2021-08-01,Bench Press (Barbell),98.7
2021-08-01,Bent Over Row (Barbell),92.0
2021-08-01,Bicep Curl (Barbell),40.3
2021-08-01,Bicep Curl (Cable),35.0
2021-08-01,Bicep Curl (Machine),84.0
2021-08-01,Cable Crossover,20.6
2021-08-01,Chest Fly,89.6
2021-08-01,Glute Kickback (Machine),80.7
2021-08-01,Hip Abductor (Machine),128.0
2021-08-01,Hip Adductor (Machine),158.3
2021-08-01,Incline Bench Press (Dumbbell),48.7
2021-08-01,Incline Chest Press (Machine),58.5
2021-08-01,Incline Curl (Dumbbell),16.0
2021-08-01,Lat Pulldown (Cable),114.7
2021-08-01,Lat Pulldown - Underhand (Band),68.3
2021-08-01,Lateral Raise (Cable),11.3
2021-08-01,Lateral Raise (Dumbbell),14.7
2021-08-01,Lateral Raise (Machine),48.8
2021-08-01,Leg Extension (Machine),155.2
2021-08-01,Leg Press,368.0
2021-08-01,Pullover (Machine),47.0
2021-08-01,Reverse Fly (Machine),83.3
2021-08-01,Romanian Deadlift (Barbell),107.3
2021-08-01,Seated Leg Curl (Machine),120.0
2021-08-01,Seated Overhead Press (Dumbbell),33.6
2021-08-01,Seated Row (Cable),109.3
2021-08-01,Seated Row (Machine),101.5
2021-08-01,Shoulder Press (Machine),66.0
2021-08-01,Shrug (Dumbbell),42.9
2021-08-01,Skullcrusher (Barbell),40.8
2021-08-01,Squat (Barbell),101.3
2021-08-01,Strict Military Press (Barbell),60.0
2021-08-01,Triceps Extension (Cable),41.1
2021-08-01,Triceps Extension (Machine),145.7
2021-08-01,Upright Row (Barbell),43.3
2021-09-01,Bench Press (Barbell),109.3
2021-09-01,Bent Over Row (Barbell),93.3
2021-09-01,Bicep Curl (Barbell),42.2
2021-09-01,Bicep Curl (Cable),35.8
2021-09-01,Bicep Curl (Machine),88.0
2021-09-01,Cable Crossover,21.1
2021-09-01,Chest Dip,24.5
2021-09-01,Chest Fly,100.0
2021-09-01,Hip Abductor (Machine),130.7
2021-09-01,Hip Adductor (Machine),175.0
2021-09-01,Incline Bench Press (Dumbbell),47.6
2021-09-01,Incline Chest Press (Machine),46.7
2021-09-01,Incline Curl (Dumbbell),17.5
2021-09-01,Iso-Lateral Row (Machine),52.0
2021-09-01,Lat Pulldown (Cable),120.0
2021-09-01,Lat Pulldown - Underhand (Band),66.7
2021-09-01,Lateral Raise (Cable),12.5
2021-09-01,Lateral Raise (Dumbbell),15.0
2021-09-01,Leg Extension (Machine),158.3
2021-09-01,Leg Press,315.3
2021-09-01,Overhead Press (Dumbbell),34.7
2021-09-01,Pull Up,21.0
2021-09-01,Pullover (Machine),47.9
2021-09-01,Reverse Fly (Machine),89.3
2021-09-01,Romanian Deadlift (Barbell),107.3
2021-09-01,Seated Leg Curl (Machine),112.0
2021-09-01,Seated Overhead Press (Dumbbell),33.8
2021-09-01,Seated Row (Machine),107.5
2021-09-01,Shoulder Press (Machine),63.0
2021-09-01,Shrug (Dumbbell),42.9
2021-09-01,Squat (Barbell),104.0
2021-09-01,Triceps Extension (Cable),43.8
2021-09-01,Triceps Pushdown (Cable - Straight Bar),47.9
2021-10-01,Bench Press (Barbell),110.0
2021-10-01,Bent Over Row (Barbell),93.2
2021-10-01,Bicep Curl (Barbell),41.3
2021-10-01,Bicep Curl (Cable),34.0
2021-10-01,Bicep Curl (Machine),90.0
2021-10-01,Cable Crossover,21.1
2021-10-01,Chest Fly,100.0
2021-10-01,Deadlift (Barbell),123.0
2021-10-01,Incline Bench Press (Dumbbell),49.9
2021-10-01,Lat Pulldown (Cable),106.7
2021-10-01,Lateral Raise (Cable),13.4
2021-10-01,Lateral Raise (Dumbbell),15.0
2021-10-01,Lateral Raise (Machine),39.4
2021-10-01,Leg Extension (Machine),161.5
2021-10-01,Leg Press,273.3
2021-10-01,Overhead Press (Dumbbell),33.6
2021-10-01,Pull Up,20.5
2021-10-01,Pullover (Machine),46.0
2021-10-01,Reverse Fly (Machine),68.0
2021-10-01,Seated Leg Curl (Machine),120.8
2021-10-01,Seated Leg Press (Machine),168.4
2021-10-01,Seated Row (Cable),112.0
2021-10-01,Seated Row (Machine),108.5
2021-10-01,Shoulder Press (Machine),68.3
2021-10-01,Shrug (Dumbbell),45.7
2021-10-01,Shrug (Machine),45.6
2021-10-01,Skullcrusher (Barbell),42.2
2021-10-01,Strict Military Press (Barbell),60.2
2021-10-01,Triceps Extension (Cable),43.1
2021-10-01,Triceps Pushdown (Cable - Straight Bar),46.0
2021-11-01,Bench Press (Barbell),104.0
2021-11-01,Bent Over One Arm Row (Dumbbell),32.3
2021-11-01,Bent Over Row (Barbell),94.0
2021-11-01,Bicep Curl (Barbell),39.4
2021-11-01,Bicep Curl (Machine),84.0
2021-11-01,Cable Crossover,18.0
2021-11-01,Chest Dip,27.3
2021-11-01,Chest Fly,84.0
2021-11-01,Deadlift (Barbell),98.0
2021-11-01,Goblet Squat (Kettlebell),38.1
2021-11-01,Hip Abductor (Machine),120.0
2021-11-01,Incline Bench Press (Dumbbell),44.8
2021-11-01,Kettlebell Swing,26.7
2021-11-01,Lat Pulldown (Cable),100.3
2021-11-01,Lateral Raise (Cable),11.5
2021-11-01,Leg Extension (Machine),153.3
2021-11-01,Overhead Press (Dumbbell),33.6
2021-11-01,Pull Up,20.3
2021-11-01,Pullover (Machine),47.7
2021-11-01,Reverse Fly (Machine),70.8
2021-11-01,Seated Leg Curl (Machine),108.8
2021-11-01,Seated Overhead Press (Dumbbell),30.1
2021-11-01,Shoulder Press (Machine),64.5
2021-11-01,Squat (Barbell),93.3
